username,lemmatized_text,extract_hashtags
cynthiamutere,  appear many tool repression articulate colonialism refine new ruling class follow independence still use consolidate state Azmio,MaandamanoThursdays
geeradioke,  press conference Karen opposition chief claim car shoot seven time live bullet believe direct attempt kill,MaandamanoThursdays Raila RailaOdinga Assassination
DennisOtachy,  Absolutely madness ’ right way treat journalist work,MaandamanoThursdays
alex_0962,  People retire pass long contribution still make keep current govt check either deliver quit suffer,RailaOdinga Kenyans
IvanWanjiku_M,  urge resident Siaya Homabay Migori Kisumu burn everything hii unga lazima ishuke support behind keyboard Youre hero Chomeni hata lake victoria,MaandamanoThursdays
Mutwiried,  Even demonstrator throw stone car windscreen anything thing replace within 24 hour cant replace life~ Khelef Khalifa Director MUHURI,MaandamanoThursdays MaandamanoMondays kutvprimetimenews
GachingJose, ,MaandamanoThursdays
waza_news,  Azimio protester expect take street today third time irritate eye nose throat skin result symptom like tear cough trouble breathing,azimio MaandamanoMondays RailaOdinga teargas
MohamedBamursal,  hit economically spearhead working/lower class pyramid Uber driver drive somewhere decry unable make end meet family fee bill pay loan service,MaandamanoThursdays
JimmieiZmE,  Hope madness end soon,MaandamanoMondays
Kisumu_lastborn,  Arent confident enough ur prowesswhy cry foul affiliate boughtwhat say peopleinstead mobilizing anarchy see u inhouse keep n spare,Azimio Dearmwananchi
DJTASMANIA1,  Stop comparing Railas life useless thing,MaandamanoThursdays
WanjiruNdagita,  demand part video want see two action together Otherwise remain stage manage scene part,MaandamanoThursdays
OjwangMariam,  Unlike DCI Officers download 2017 Photos publish photo Criminals let leave pic evidence transpire tell us police think Propaganda Ghai,MaandamanoMondays MaandamanoThursday
alex_0962,  defend constitutional right fight past decade think retire watch magic play,Baba RailaOdinga
BeingCharlie,  HARDLINERS,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
BeingCharlie,  time President William Ruto bring end Diplomatic solution best way though,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
Njoroge_kamau,  sad officer back bribe kesho Pwani University accident idiot allow sudden 100kph 50 kph speed limit let ’ blame,MaandamanoThursdays
KenyaNiYetuSote,  citizen arrest conduct Assasin loose target Baba allow,MaandamanoThursdays
BeingCharlie,  DP Rigathi Gachagua help,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
Tasha_ke746,  Basketball 🥳 Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila
nziokitm,  Gained 100+ follower day Thank much Drop handle grow together,Quickmart57 Raila MaandamanoThursdays
AzimioTv,  Looks like illegitimate regime learn powerful lesson : never underestimate strength people,MaandamanoThursdays
DzaddyLil,  Uyu mzee sii aende nyumbani kiroho safiYani tangia nizaliwe 2002 amekua akivie presidency na analose zotesaizi naplan kuamka2027najua atakua bado kwa race,RailaOdinga
BeingCharlie,  President William Kipchirchir Samoei Arap Ruto PhD must take charge silence noisy DP Rigathi Gachagua,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
benalfali,  ulizia sisi huko juu whether patron makanisa arubaini slot also mean mama mboga government,MaandamanoThursdays MaandamanoThursday Raila
BeingCharlie,  DP Rigathi Gachagua hat Luos passion speech tell,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
sakijointl,  real love course hand cost living must bring GoK,Azimio MaandamanoMondays Mungumbele
Reptile_ke,  Pipeline selflessly pour water highrise flat douse team intense teargas Mubarikiwe,MaandamanoThursdays MaandamanoThursdays
Malcolm_Ze,  guy send miss Sorry,MaandamanoThursdays
AvangiBenedict, ,Costume MaandamanoThursdays
HonMbaki,  Raila Odinga know ahead ’ stop nonsense go forward Monday extremely messy Whoever lie ’ law read tweet 100 time Nobody allow loot destroy kill Kenyans,MaandamanoThursdays
Akillomuziq21,  Ni handshake aimthe president deputy ruthless 80s stupid thought must continue,MaandamanoThursdays
DaimaDawama,  goon,MaandamanoThursdays MaandamanoThursday
DavidGichamba,  STOP MADNESS RETIRE TODAY,MaandamanoThursdays RailaOdinga enemyofthepeople
_real_es,  Ealier Today Embakasi Outering Road,MaandamanoThursdays Maandamano RailaOdinga embakasi PoliceBrutality PwaniUniversity
dennisjoe20,  Windscreen broken vehicle wreck big question Mr Odingas Insurance principle proximate cause subrogation loss minimization INDEMNITY apply case,Raila MaandamanoThursdays
Jeshi_LaBABA, ,MaandamanoThursdays
kamaa2525,  peace,MaandamanoThursdays
PHILLISKANG6,  Wow sound like Deputy President need get clue people speak Raila Odinga come ready See bio bro,MaandamanoMondays
Tonywamwangi,  Kenya police take gender reveal party another levelFinallytoday baby girlHaha,MaandamanoThursdays
ChrisstalFarms1,  21st Century Police still act like untrained uncivilized force Quite unfortunate particular officer prosecute Babu Owino Edwin Sifuna,Maandamano Newsnight MaandamanoThursdays Raila
SirKimly,  Raila Odinga really adore follow constitution rule law deal people dont care advice baba use armored vehicle need alive,MaandamanoMondays
MusiFrancisco,  go dine inthe tweet Skia vibaya na hukooo,MaandamanoThursdays imaradaima
Onlineoptimize1,  Kenyas top rank killer cop,Quickmart57 Raila MaandamanoThursdays
wembe_sita,  fraction PA whole teach school,MaandamanoThursdays
kiprono_kip,  take entire bulletin Northlandsnow animal farm,Tonight MaandamanoThursdays
1FresHcobar,  international community US EU AU Kenya Kwisha govt ( current regime ) target journalist cover protest Kenya intent cause serious harm kill Pwani University Kisumu Siaya Outering Road Baba Imara Daima,MaandamanoThursdays Raila
Reptile_ke,  Kenya Police attack opposition convoy exit Kware Embakasi South Nairobi Africa Uncensored manage capture exclusive footage plain cloth police officer lob teargas medium vehicle Two journalist injure teargas,MaandamanoThursdays
Raphael_Njogu_M,  notice every time Babu owino take mic live TV play cut Photoshop Pipeline Vera Outering Road RIP Pwani University Karen Kisumu Citizen TV,MaandamanoThursdays Quickmart57 Raila
aludacyprian,  attack journalist police purely senseless Outering Road Courtesy,MaandamanoThursdays
BeingCharlie,  Blood amp politics Tears amp Jeers Death amp Destruction Jacaranda Tasia l Imara Daima Mukuru Kwa Njenga,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
Reptile_ke,  Ruto Opposition MAANDAMANO REMOVE KIBAKI STATEHOUSE Okay,MaandamanoThursdays
Mutwiried,  Azimio hold government account kenyan right demand lowering cost living~Suba Churchill NCSC kutvkenya,MaandamanoThursdays MaandamanoMondays
NampSmart,  Monday front line expect thing different chiee,MaandamanoMondays
Rixsirez,  Looting Even funeral home Hii Ni Maajabu,Raila RailaOdinga
LeadTrainLearn,  Register yesterday : Pwani University Kisumu Siaya Pipeline Outering Road,MaandamanoThursdays Raila
sheltonjair11,  Wengine wanasema ni photo shop God know truth May Allah protect nation swala country,MaandamanoThursdays RamadanKareem
Generationzeyd,  Packaging bag Branding entail serve client delivery bag keep remember brand whenever take look packaging get serve Price kes 200 0721507651,Raila MaandamanoThursdays
ItsMutai,  friend fondly support Azimio unfollowed recently VEHEMENTLY oppose people preach drink wine call DEMOCRACY really care less worth noting life move like colossus,MaandamanoThursdays
CosnameTv1,  HAPPENED CCTV camera capture final moment Pwani University student perish Kayole Naivasha today way Eldoret bus lose control fail break RIP,MaandamanoThursdays Nairobi Raila JKLive cosname wearewithyou
Malcolm_Ze,  Gachagua ’ like allow go ahead,MaandamanoThursdays
AvangiBenedict,  costume,MaandamanoThursdays
VictorMochere,  two person,MaandamanoThursdays
GabrielDolan1,  One thing agree IGPolice must force resign progress step aside Ludicrous maybe say loudly together possible,MaandamanoThursdays
PeterWakaba7,  bad condemn peace love Kenyans,MaandamanoThursdays
Princeof_Kenya,  Kisumu Kwee Mortuary invade corps pull sexually desecrate receive handshake Citizen TV show,Raila MaandamanoThursdays
HisiUzuriPlus,  Kweli uko na nguvu,MaandamanoThursdays
MOmuttaha,  Journalists attack Kenya,JournalismIsNotACrime Raila MaandamanoThursdays
BeingCharlie,  Thugs amp Guns Tear gas amp Tears Fears amp Tears Losses amp Damages,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
LeadTrainLearn,  Grab early bird discount Pwani University Kisumu Siaya Pipeline Outering Road,MaandamanoThursdays Raila
georgenjoroge_,  green thing ni ya nini🤦🤗,MaandamanoThursdays
LeadTrainLearn,  Make career shine Inspire success Pwani University Kisumu Siaya Pipeline Outering Road,MaandamanoThursdays Raila
LarryOGW,  easily go demo baba common mwananchinow want imagine go demo Kalonzo Worst case WamalwaAjeeeeee,MaandamanoThursdays
AbalaKinyuaa,  catch camera last time time wear cap gas mask hide face Even hand goon kill Blood thirsty,Maandamano RailaOdinga
AlmamyMoha254,  really Peaceful Demonstration enough enough Cc,MaandamanoThursdays
LfeonS,  Korir Assassin,MaandamanoThursdays
kiplangatbrian9,  succumb intimidation ypu make good decision call see beeing man enough lead ona huyu mzee,MaandamanoThursdays
BeingCharlie,  Criminal Enterprise take protest,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
njewamaore,  Kenyans supportibg Azimio goon know politician use people interest see Americans get involve know unga price learn,Raila Kenyaprotest MaandamanoThursdays
LeadTrainLearn,  Quality redefine expert delivery Pwani University Kisumu Siaya Pipeline Outering Road,MaandamanoThursdays Raila
LeadTrainLearn,  Make way future Pwani University Kisumu Siaya Pipeline Outering Road,MaandamanoThursdays Raila
authenttick,  vaccine would take every day vein guy visionary coward like Rigathi Gachagua Ruto everyday due public demand Edwin sifuna imara daima,RailaOdinga Maandamano MaandamanoThursdays Nairobi Raila
PhinelSenior,  want state Kenya ready cessation land Period Tv Pwani Police Ruto Nairobi Azimio Embakasi,Maandamano RailaOdinga Citizen
BeingCharlie,  Blood,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
AvangiBenedict,  Hii imenda hii imenda,MaandamanoThursdays
oseur_nancy,  journalist attack Media independence need,MaandamanoThursdays mediafreedom
EduReformKenya,  Another day get kid school early amp without homework,Maandamano BanEarlyAndLateClasses BanWeekendClasses BanHomework EducationReform MentalHealth TheExplainer Raila MaandamanoThursdays
BeingCharlie,  mother spouse daughter,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
AvangiBenedict,  mandamanonimeomoka,MaandamanoThursdays
MureithiNicky,  number plate alteredwho car carrying,RailaOdinga Raila
TheChoge,  always one dirty hand point finger Raila Odinga make distasteful comment stake government,MaandamanoThursdays MaandamanoMondays Maandamano
makauprince_,  guy,KOT MaandamanoThursdays
BeingCharlie,  Turbulent time Kenya,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
David_Indeje, ,MaandamanoThursdays
BeingCharlie,  Kenya trouble,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
LfeonS,  Korir Assassin huku atapewa mshahara mnono sana na Zakayo Preacher,MaandamanoThursdays
VictorMochere,  attempted assassination Raila Odinga crime humanity successful assassination ignite revolution Kenya,MaandamanoThursdays
BeingCharlie,  Sad,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
mauricemuliko,  need profile terrorize socially plain clothed officer inhumane,MaandamanoThursdays
BeingCharlie,  Scenes 2007 relieve 2023 Kenya TROUBLED look good,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
EmbuTelevision,  VIOLENCE LOOTING amp DESTRUCTION AZIMIO DEMONSTRATIONS RAILA INTERNET NEVER FORGETS,ArrestRaila demonstration ArrestRailaNow Azimio
Mr_Simpson9,  3 day protest know tough head ICC criminal posing president go take demonstration get thief crony open election server,MaandamanoThursdays
YoungBrokeNigaz,  wrong Kenyans want peace big political ego,MaandamanoThursdays
BeingCharlie,  heart bleeds country,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
j_thuranira,  think light end tunnel kumbe ni nduthi inatokelezea,MaandamanoThursdays MainaAndKingangi
BeingCharlie,  Stealing DEAD take DARK turn,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
OfficialOneKid,  Baba world giant,MaandamanoThursdays Raila
johnnieWesh,  get mandamano thing spend 20 min emphasis protest good country watch DW main story despite protest,RailaOdinga
BeingCharlie,  Cry thy beloved KISUMU Scenes 2007 relieve 2023 Truly heartbreaking,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
Abundance_Raph,  PRAY KENYA WAY THINGS GOING UNLESS GOD INTERVENES,MaandamanoThursdays PeaceAndLove KenyaToday
delano_josh,  Leo Tassia tumesumbuliwa na makarao reason guess bore coz section calm side Tassia,MaandamanoThursdays tassia
Naitalel_maina,  Fahari wawili wakipigananyasi ndio huumia casesisi ndio nyasi Thugs take advantage maandamano loot n destroy Dear president Ruto act like leader Engage Raila nusu mkate dialogue peace,MaandamanoThursdays tassia
BwnHon,  say thatFor president people must die many foolish Luis KisumuMathare Kibra Pipeline must die stop hope one day get world Luos liberate,Raila Raila MaandamanoThursdays MaandamanoMondays
AllenNext,  Even armoured vehicle match state machinery 🤔,Maandamano Raila MaandamanoThursdays MaandamanoThursday MaandamanoMondays MaandamanoMonday
DWorldChronicle,  happen Video : Courtesy,MaandamanoThursdays
da_dancan,  Im sure mr miss political report,MaandamanoThursdays
MuyelaRobertob,  person 1 top 2 jean 3 gun 4 bag 5 earpiece,Raila pipeline Maandamano MaandamanoThursday RailaOdinga
Evan23317235848,  Yani people take yo time vandalise limited health facility well do Kisumu people,MaandamanoThursdays
FieLixie,  Could Korir,MaandamanoThursdays
IanMainw,  Killed high school kid pipeline earlier today,Railaodinga CitiNewsroom HumanRights statehouse
ShadyOpiyo,  current president William Ruto OPPOSED Constitution vehementlyI expect everything thats happen us nowreluctant SUSPENDING NEED see Odinga Azimio brigade,Maandamano Raila MaandamanoThursdays
kgwako8,  Gachethi safe baba alive want bad world kill Raila Amolo Odinga youll see kenya ash,MaandamanoThursdays Maandamano server
Jeshi_LaBABA,  Fellow Kenyans amp Helped Get Illegitimate Govt Power Corrupt Kickbacks Later onNow Theyre Sanitizing Police Brutality advise Government arrest BABA Time Comes SHALL PACK GO,MaandamanoThursdays
Stevemulwa9,  ni shughuli za kiroma,MaandamanoThursdays
Generationzeyd,  help place business Google excellent tool raise business company local profile allow provide detail photo business Want become member Talk 0721507651,Raila MaandamanoThursdays
davis_osoro,  Dci twiter,KOT MaandamanoThursdays
Polycar16101020,  lovely look solidarity act pipeline people way,RailaOdinga
authenttick,  Theres country 21st century still happen Arrest pipeline Tassia Edwin Sifuna,Maandamano Nairobi RailaOdinga
the_great_iam_2,  way kenya watch police v Azimio,MaandamanoThursdays Raila Maandamano
johnmark254,  Seth stay safe aluta continuum,MaandamanoMondays
ShadyOpiyo,  think ever want VIBRANT opposition give,Maandamano MaandamanoThursdays
Kungu254_,  Pipeline waliwafanya ile kitu,MaandamanoThursdays
DKithandi,  Rigathi Gachagua Raila,RailaOdinga
ERUKONJnr, ,MaandamanoThursdays
MOmuttaha,  Police Brutality real Kenya,MaandamanoThursdays RailaOdinga JournalismIsNotACrime
Asamoh_,  Monday mother demonstration,MaandamanoThursdays
NyaberaEmmanuel,  clearly target,MaandamanoThursdays
Dr_Nickz,  protest,MaandamanoThursdays Maandamano MaandamanoThursday
sammytkamau, ,MaandamanoThursdays
KylianTatum,  checked shirt cop Wueh Talk quickmart Jack Bauer,MaandamanoThursdays
HajjAbdiwahid,  officer different occasion mission red line cross,MaandamanoThursdays
KopanastivStiv,  attempt life RtHon attempt life KenyansUsijaribu,MaandamanoMondays MaandamanoThursday
Jumbage,  inhuman Alafu mnasema protestors Im really ashamed police Outering road Pipeline Kibera,MaandamanoThursdays
DahmerKe,  guy probably avenge medium reveal face previous maandamano Raila,MaandamanoMondays Maandamano
UnchainDjango,  Looks like cow lead onslaught police Pipeline /Tassia along Outering Road Peaceful protest turn chaotic Martha Karua Edwin Sifuna amp Babu Owino entourage weave Embakasi Pwani University RIP,RailaOdinga
OpiyoWandayi,  image reminiscent JeanBedel Bokassas Central African Republic Pol Pots Cambodia JeanClaude Duvalier ( Papa Doc ) Haiti Kenya Third Liberation must come,MaandamanoThursdays
BeatriceOyomo,  Weve demonstrate world peaceloving movement fight high cost living bad governance peaceful demonstration violence often witness always cause triggerhappy goon police uniform,MaandamanoThursdays
mukundiAchiever,  justification destabilize already exist peace okay call nasty,MaandamanoThursdays
MumbiJosphen,  Eastlands Photoshop Edwin Sifuna,Maandamano MaandamanoThursday MaandamanoMondays Raila
fvcnewsTV,  Stop senseless attack journalist Stop,mediaattacks MaandamanoThursdays MaandamanoMondays Maandamano mediafreedom
king_kemboi,  Watu wa KOT identify still dont believe story thats share online Citizen TV Photoshop MC Fullstop,Raila RailaOdinga
ShadyOpiyo,  FEAR cant CONQUER HATE dont UNDERSTANDthis political major problem,MaandamanoThursdays Maandamano
Director_Ochi,  Niaje bro talent manager artist amazing patriotic song know please add playlist Check,MaandamanoMondays MaandamanoThursdays
HuyuNiSMS,  NTV banaa GoonVernment,MaandamanoThursdays
DJ_ENRIC_KENYA,  DJ ENRIC KENYA MIONDOKO SET dj Enric Kenya feat DJ ENRIC via,nowplaying MaandamanoThursdays Maandamano
SallyBolo,  aim superfluous attack one Azimio La Umoja One Kenya Alliance vehicle man plan clothes Hes see emerge police sideobviously hes police officer isnt safe picket,MaandamanoThursdays
KogwiloKe,  Yes regress old day Ooooh attempt take away Babas life relent tire Lets meet Monday mother demonstration Guok,MaandamanoThursdays
OnguruMeister,  Fuck police,MaandamanoThursdays
dark_enock, ,MaandamanoThursdays
kiztv7,  crime camera,JournalismIsNotCrime MaandamanoThursdays
KWC_Congress,  officer different occasion mission red line cross,MaandamanoThursdays
RuudInKenya,  damage report,MaandamanoThursdays Kisumu
joeamanon,  one buy gun grenade rate hv beef security thuggish govt,RutoMustGo MaandamanoThursdays
mukundiAchiever,  Thats devilish democracy looting,MaandamanoThursdays
linovick254,  Respectfully respect hustle journalist demonstrator,MaandamanoThursdays Maandamano
iam_randiki,  Video ROGUE officer vandalize car Let justify GOONS action,MaandamanoThursdays
NyarangaTobby,  BABA always right Mimi Sina hio nguvu ya kumpinga,MaandamanoThursdays
MuthokaTito,  Kwee Funeral Home vandalise barely 2 day launch Nyongo,TanoTERROR Maandamano MaandamanoThursdays
Maxx_king3,  Watu wa Azimio next time si muende mumejipin tuone kama mtashinda time,MaandamanoThursdays
MuthokaTito,  Protest organizer order compensate owner vandalised shop,Maandamano MaandamanoThursdays
muriithij64,  Vox Populi Vox Dei,MaandamanoThursdays
MwauraGeek,  Mission kill eliminate use excessive force tell need break window aim directly occupant Zakayo Nabii mtoza ushuru lazima ushuke na utashuka,Nairobi RailaOdinga Railaspeaks
AbalaKinyuaa,  nothing happen Kenya arrest Kimani Ichungwah say arrest see,RailaOdinga
HarryGodfirst, ,Kenya MaandamanoThursdays
johnmark254,  Kesho baba atakupa mpya lazima hakuna excuse,MaandamanoMondays
ViralTeaKe,  Raila hit President William Rutoled government try lead country back darkness compose colonial period fault police stifle protest,MaandamanoThursdays
ma_shete,  call legitimate government Fnck Kenya,MaandamanoThursdays Maandamano
LydiahAsh,  Amani Peace get live homeno caretaker bang door Well give Amani Gardens Kisaju size 50x100 plotswhere plot deposit ksh 70k Call 0726 702 530,MaandamanoThursdays ComfortHomes Comforthomesdeliver
Onlineoptimize1,  one mission Babu Owino Luo Nyanza Kalonzo,Azimio
authenttick,  know Rigathi Gachagua play dirty know Arrest instead vera Rest peace imara daima,Raila MaandamanoThursday Nairobi RailaOdinga
EngrOchi,  accord UDA burn building Siaya importanter compare life lose police brutality experience today donge,RailaOdinga
Michael965335,  Whereas problem come face barricade behind GSUs,MaandamanoThursdays Maandamano
whitney_stesher,  LIVE SWORD ALSO DIE SWORD Sometimes theres freedom death,Pipeline OuteringRoad Maandamano RailaOdinga
nichomaingi,  do day Lets wait business disruption Monday,MaandamanoThursdays
KenyanMarketer1,  Spacious 2 amp 3 Bedroom Thindigua Philly Homes via REALTORS,038 MaandamanoThursdays Blazespaces Raila RHONairobi ChangeYourOilDNA
MiruniHerbert,  BRICS way go,Azimio Nairobi Kenya MaandamanoThursday
MwauraGeek,  killing mission Find Baba leader eliminate Kill,Nairobi Azimio
deelastking021,  Jeshii ya Ruto jeshii ya baba haiwezani tuzidii must demolish fooling youth,Azimio
ShaltonOnlineTv,  many want Monday Monday REPOST : via,Maandamano MaandamanoMondays MaandamanoThursday Protesters Nairobi
patricknzioka,  happen Kenya SAD stubborn opposition vs adamant government really insensitive political class side provocative inciteful speech young politician ICC might soon Kenyan customer,MaandamanoMondays Maandamano
marie_sly,  funny people keep insist one tribe affairbaba love many include pretend hate himpale kwa ground cheer like crazy RAO cant ignore whole mood,MaandamanoThursdays
authenttick,  attempt assassinate Raila odinga find possible cause arrest Lakini stupid Kenyans wa Kenya kwanza wanasema ni Photoshop,Nairobi Maandamano MaandamanoThursday RailaOdinga
field_negroo,  Reports emerge Karen allege machine sustain 7 targeted gunshot convoy try wriggle way onto outering road Meanwhile 3 life brutally claim rogue officer Jacaranda must condemn cowardly strategy,RailaOdinga maandamano
Peterz_Model,  Set reminder upcoming Space Mr World Kenya 1st R give us guidance Pwani University Photoshop Kisumu Outering Road,theoutside manyofus MaandamanoThursdays Blazespaces Raila RHONairobi ChangeYourOilDNA
KamogaMunawa,  Kenyan leader survive assailant shoot car closerange todays protest pipeline Embakasi constituency Nairobi CBE,Azimio
kipchichir20,  Dear Ruto : Today Control POLICE Control MEDIA CONTROL Gachagua ( Sheep ) FORMULA restore PEACE Test MONDAY,maandamanothursdays
ArnoldWama59068,  Police officer protect public private business invasion Railas goon Good work kindiki Raila Odinga Ruto Rigathi,MaandamanoThursday Maandamano RailaOdinga PwaniUniversity
ReBrandQuest,  demo see business loot never happen live thank deal thief,Tasia Beecentre Maandamano MaandamanoThursday RailaOdinga Raila Quickmart57
authenttick,  Raila Odinga claim attempt police take life youre advocate arrest instead Tassia vera Gatundu amber ray runda,RailaOdinga Raila MaandamanoThursday Maandamano
Peterz_Model,  Set reminder upcoming Space Join us 4423 830pm Mr World Kenya 1stRup take away Pwani University Photoshop Kisumu,theoutside manyofus MaandamanoThursdays Raila
mwamko_mpya,  country lead righteous president marry Intercessor,MaandamanoThursday Azimio RutoMustGo
RealSimbaC,  Thank search continue want everything criminal Everything identity Name Age Village Place residence Occupation Name spouse amp Parents Siblings etc must act,KOT MaandamanoThursdays
AzimioTv,  condemn brazen attack strong term possible|,MaandamanoThursdays
Bobby88Bob,  episode 3,uhuru MaandamanoThursdays
jaykashed,  Huyu anajaribu ku twist incident ili atetee goon,Azimio
benjabali,  Today 5AM Morning Instructions Simple SHOOT KILL * Vid Courtesy *,MaandamanoThursdays
KopanastivStiv,  hit man capture 20th aim gun Azimio leader Seems government hit man mission,MaandamanoMondays
vincentbwire9,  second day remember one Mike Sonko city mortuary deal backfire JOORH morgue Kisumu 🤔 day governor nyongo commission cant convince demonstrator BIG,MaandamanoMondays
254Taytoh,  nonsense stop turn deadly Kenyans deserve,Maandamano Nairobi PwaniUniversity MaandamanoThursdays
Jeshi_LaBABA,  Surely Plans Assassinate BABA Look Blood Thirsty Police Vid :,MaandamanoThursdays
retired_comrade,  Mission fail day1 come back water canon intimidate protestors colour achieve whatever mission confusion amp blur vision look act like hired assassin must smoke immediately,MaandamanoThursdays Raila
KopanastivStiv,  idiot capture aim gun Sifuna last week Seems hit man mission,MaandamanoMondays
EugeneAbilla,  sound use landcruicer like one Home Boys donate campaign least 2 backup,MaandamanoMondays
BeldeenWaliaula,  Sad watch,Raila MaandamanoThursdays
Ke_Dictionary,  Life problem solve reality experience,Kenyandictionary DailyQuotes Quotes KenyanQuotes MaandamanoThursdays
authenttick,  hit reciprocate impact twice Fire fire eagerly wait arrest warrant court arrest intimidate mere talk East Africa photshop,RailaOdinga Nairobi Maandamano MaandamanoThursday
Nabongo_XXII,  serious,Maandamano MaandamanoThursday RailaOdinga
MDD_KENYA,  Police today provoke peaceful protestors leave Babas vehicle shot 7 time live bullet wont deter Forward match Pipeline Arrest,Maandamano MaandamanoThursday RailaOdinga Raila Quickmart57
brianndungu70,  dont care political idol really goon go protest block road karen area idiots demonstrate love family first neighbor first,Raila RailaOdinga RutoMustGo Kisumu Pipeline Maandamano
ViralTeaKe,  Raila Odinga accuse police allege assassination attempt life protest,MaandamanoThursdays
AlinurMohamed_,  Look image Imara Daima Mukuru Kwa Njenga Pipeline Kwareclearly agree police problem longer maintain law order police vicious attack violence property distraction sad,MaandamanoThursdays
EddyKavai,  “ security free press ” Thomas Jefferson,Arrest Azimio
Wakarima_edwin,  car number Kenya Sisi sio wajinga buana 🤣🤣,RailaOdinga
OnguruMeister,  many birrions lose week Asking Gachietha,Maandamano MaandamanoMondays MaandamanoThursdays
HarryGodfirst, ,Kenya MaandamanoThursdays
HarryGodfirst, ,Kenya MaandamanoThursdays
OmaribaKE,  Journalists condemn increase attack colleague Azimio protest several injure today,MaandamanoThursdays
BenBESH,  Kenya kwanza full fiction story deliver HOT AIR kenyans iendelee,MaandamanoThursdays MaandamanoMondays
authenttick,  support Kenya Kwanza government youre mentally handicappedretarded way support character like Rigathi GachaguaRutoKimani Ichungwa wait arrest pipeline,Nairobi Maandamano MaandamanoThursday RailaOdinga Raila
HarryGodfirst, ,Kenya MaandamanoThursdays
dark_enock, ,MaandamanoThursdays
team_psycho23,  Surprise tune inspiration one afro Amapiano everybody jam available digital platform,shine LISAXCELINE Indore SupremeCourt ลัฟวี่ไม่เอาธันเดอร์โดม UkraineWar TATAIPL MaandamanoThursdays OpeningDay2023
ChanuaBoyChild,  Picture : future Kenyans finally realize,Kenya Demonstrations Kenya PoliticalTurmoil KenyansUnite EndDivisivePolitics PeacefulProtests CBD Mathare KwaNjenga Kawangware MaandamanoThursdays BLAZESpaces PwaniUniversity Photoshop Raila
authenttick,  know want arrest youre sure dare Ruto Rigathi Gachagua take risk ready deal repercussion Issue warrant mtuambie amepiga nani,RailaOdinga Maandamano MaandamanoThursday Nairobi
thecivican,  Azimio leader Raila Odinga convoy see Upper Hill,RailaOdinga
thecivican,  Raila Odingas convey teargas Pipeline area Nairobi,RailaOdinga
Buliba_,  THUGGERY MADNESS ANARCHY,MaandamanoThursday MaandamanoMondays
thecivican,  Sabina Chege Raila : Please put interest country first,RailaOdinga
Robaa82,  loot take coffin leave body outside 🤐 evil,KweeMortuary Azimio
thecivican,  Raila take antigovernment protest Embakasi,RailaOdinga
RealSimbaC,  want identity make public attempt assassinate alone crime humanity MUST give us nothing name,Raila MaandamanoThursdays
KalosSays,  urge bring legislation deduct loses cause Azimio Chaos amp Political Parties Fund need accountability end madness,MaandamanoThursdays Raila SenileWelder
retired_comrade,  photo today pipeline must worry sane Kenyan Democratic gain chock brutalize watch God fear regime thirsty anarchy SAD,Raila MaandamanoThursdays
authenttick,  Youre angered fight right Kenyans Caption guy barbaric uncivilized uncalled Arrest see Kenya Pipeline Mc Fullstop,RailaOdinga Maandamano MaandamanoThursdays Quickmart57 Raila
JuniorTache,  peaceful Demos Government must protect common mwananchi,MaandamanoThursdays Kisumu
jaykashed,  Watu wa Kisumu hongera kwa muliyo fanya na mzidi vivyo hivyo,MaandamanoThursdays
Bearded_Mirara,  Kuna wasee walienda job kidogo gava ikaamua wacheze paintball mchana mchana,MaandamanoThursdays Maandamano
maelwak,  Leo hata sisi tumetupiwa teargas kwa Estate,MaandamanoThursdays
MwanthiJunior,  many poor soul enough many people die forget get share government like happen handshake,MaandamanoThursdays
Tuandamane,  Youths Outering Road Nairobi breathe fire thousand police deploy chase protective gear grab try barricade road block convoy Let try touch baba Kedong ranch Narok Babu Owino Kisumu Kibra,Azimio Raila
Ibn_mimano,  story courage triumph forever enthrall Poem AI,RevolutionNow RutoMustGo kenya MaandamanoThursdays
Jeshi_LaBABA,  STATE HIRED THUG,MaandamanoThursdays
